id,topic,title,description,language,tags,source_available,source_code_path
"rendering-a-scene-with-forward-plus-lighting-using-tile-shaders","Lighting techniques","Rendering a scene with forward plus lighting using tile shaders","Implement a forward plus renderer using the latest features on Apple GPUs.","","lighting-techniques,lighting,forward-plus,tile-shaders,rendering,gpu","false",""
"rendering-a-scene-with-deferred-lighting-in-objective-c","Lighting techniques","Rendering a scene with deferred lighting in Objective-C","Avoid expensive lighting calculations by implementing a deferred lighting renderer optimized for immediate mode and tile-based deferred renderer GPUs.","Objective-C","lighting-techniques,lighting,deferred-shading,rendering,tile-based,objective-c","false",""
"rendering-a-scene-with-deferred-lighting-in-swift","Lighting techniques","Rendering a scene with deferred lighting in Swift","Avoid expensive lighting calculations by implementing a deferred lighting renderer optimized for immediate mode and tile-based deferred renderer GPUs.","Swift","lighting-techniques,lighting,deferred-shading,rendering,tile-based,swift","false",""
"rendering-a-scene-with-deferred-lighting-in-cpp","Lighting techniques","Rendering a scene with deferred lighting in C++","Avoid expensive lighting calculations by implementing a deferred lighting renderer optimized for immediate mode and tile-based deferred renderer GPUs.","C++","lighting-techniques,lighting,deferred-shading,rendering,tile-based,cpp","false",""
"rendering-reflections-with-fewer-render-passes","Lighting techniques","Rendering reflections with fewer render passes","Use layer selection to reduce the number of render passes needed to generate an environment map.","","lighting-techniques,rendering,reflections,environment-mapping,layer-selection","false",""
"modern-rendering-with-metal","Multiple techniques","Modern rendering with Metal","Use advanced Metal features such as indirect command buffers, sparse textures, and variable rate rasterization to implement complex rendering techniques.","","multiple-techniques,rendering,indirect-command-buffers,sparse-textures,variable-rate-rasterization","false",""
"encoding-indirect-command-buffers-on-the-gpu","Multiple techniques","Encoding indirect command buffers on the GPU","Maximize CPU to GPU parallelization by generating render commands on the GPU.","","multiple-techniques,indirect-command-buffers,gpu,gpu-driven,rendering","false",""
"rendering-reflections-in-real-time-using-ray-tracing","Ray tracing","Rendering reflections in real time using ray tracing","Implement realistic real-time lighting by dynamically generating reflection maps by encoding a ray-tracing compute pass.","","ray-tracing,reflections,lighting,real-time,compute,rendering","false",""
"accelerating-ray-tracing-using-metal","Ray tracing","Accelerating ray tracing using Metal","Implement ray-traced rendering using GPU-based parallel processing.","","ray-tracing,rendering,gpu,parallel-processing","false",""
"control-the-ray-tracing-process-using-intersection-queries","Ray tracing","Control the ray tracing process using intersection queries","Explicitly enumerate a ray’s intersections with acceleration structures by creating an intersection query object.","","ray-tracing,intersection-queries,acceleration-structures","false",""
"accelerating-ray-tracing-and-motion-blur-using-metal","Ray tracing","Accelerating ray tracing and motion blur using Metal","Generate ray-traced images with motion blur using GPU-based parallel processing.","","ray-tracing,motion-blur,gpu,parallel-processing,rendering","false",""
"rendering-a-curve-primitive-in-a-ray-tracing-scene","Ray tracing","Rendering a curve primitive in a ray tracing scene","Implement ray traced rendering using GPU-based parallel processing.","","ray-tracing,curves,rendering,gpu,parallel-processing","false",""
"processing-hdr-images-with-metal","HDR","Processing HDR images with Metal","Implement a post-processing pipeline using the latest features on Apple GPUs.","","hdr,post-processing,image-processing,gpu","false",""
"migrating-opengl-code-to-metal","OpenGL","Migrating OpenGL code to Metal","Replace your app’s deprecated OpenGL code with Metal.","","opengl,migration,interoperability","false",""
"mixing-metal-and-opengl-rendering-in-a-view","OpenGL","Mixing Metal and OpenGL rendering in a view","Draw with Metal and OpenGL in the same view using an interoperable texture.","","opengl,interoperability,rendering,textures","false",""
