id,title,description,keywords,topics,platforms,event,collection,duration,video_url,thumbnail_url,transcript_path
247,What’s new in Xcode 26,"discover the latest productivity and performance advancements in xcode 26. learn how to leverage large language models in your development workflow. explore editing and debugging enhancements, improved performance and testing tools, and swift build - the open-source build system engine used by xcode.",,Design|Swift|SwiftUI & UI Frameworks|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,36:56,https://developer.apple.com/videos/play/wwdc2025/247/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9947/9947_wide_250x141_2x.jpg,transcipts/wwdc2025-247.txt
266,Explore concurrency in SwiftUI,discover how swiftui leverages swift concurrency to build safe and responsive apps. explore how swiftui uses the main actor by default and offloads work to other actors. learn how to interpret concurrency annotations and manage async tasks with swiftui's event loop for smooth animations and ui updates. you'll leave knowing how to avoid data races and write code fearlessly.,,SwiftUI & UI Frameworks|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,24:55,https://developer.apple.com/videos/play/wwdc2025/266/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9979/9979_wide_250x141_2x.jpg,transcipts/wwdc2025-266.txt
270,Code-along: Elevate an app with Swift concurrency,"learn how to optimize your app's user experience with swift concurrency as we update an existing sample app. we'll start with a main-actor app, then gradually introduce asynchronous code as we need to. we'll use tasks to optimize code running on the main actor, and discover how to parallelize code by offloading work to the background. we'll explore what data-race safety provides, and work through interpreting and fixing data-race safety errors. finally, we'll show how you can make the most out of structured concurrency in the context of an app.",,Developer Tools|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,32:56,https://developer.apple.com/videos/play/wwdc2025/270/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9949/9949_wide_250x141_2x.jpg,transcipts/wwdc2025-270.txt
291,SwiftData: Dive into inheritance and schema migration,"discover how to use class inheritance to model your data. learn how to optimize queries and seamlessly migrate your app's data to use inheritance. explore subclassing for building model graphs, crafting efficient fetches and queries, and implementing robust schema migrations. understand how to use observable and persistent history for efficient change tracking.",,App Services|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,19:08,https://developer.apple.com/videos/play/wwdc2025/291/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9993/9993_wide_250x141_2x.jpg,transcipts/wwdc2025-291.txt
307,Explore Swift and Java interoperability,"learn how you can mix swift and java in a single codebase. we'll introduce the swift-java interoperability project, which allows you to use swift in java programs or vice versa. we'll show you how to use the tools and libraries offered by swift-java to write safe and performant code that interoperates between these two runtimes.",,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,21:22,https://developer.apple.com/videos/play/wwdc2025/307/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/10027/10027_wide_250x141_2x.jpg,transcipts/wwdc2025-307.txt
245,What’s new in Swift,"join us for an update on swift. we'll talk about workflow improvements that make you more productive, and new and modernized library apis for fundamental programming tasks. we'll show examples of swift adoption throughout more layers of the software stack. finally, we'll explore new language features for both improving approachability of concurrency, and achieving peak performance when you need it.",,Developer Tools|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,38:10,https://developer.apple.com/videos/play/wwdc2025/245/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9944/9944_wide_250x141_2x.jpg,transcipts/wwdc2025-245.txt
10217,Explore Swift performance,discover how swift balances abstraction and performance. learn what elements of performance to consider and how the swift optimizer affects them. explore the different features of swift and how they're implemented to further understand the tradeoffs available that can impact performance.,,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,34:36,https://developer.apple.com/videos/play/wwdc2024/10217/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9363/9363_wide_250x141_2x.jpg,transcipts/wwdc2024-10217.txt
10075,Track model changes with SwiftData history,"reveal the history of your model's changes with swiftdata! use the history api to understand when data store changes occurred, and learn how to use this information to build features like remote server sync and out-of-process change handing in your app. we'll also cover how you can build support for the history api into a custom data store.","historydescriptor,historyproviding,history tracking,model changes,nspersistenthistorytrackingkey,persistent history,transactions",App Services|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,16:52,https://developer.apple.com/videos/play/wwdc2024/10075/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9168/9168_wide_250x141_2x.jpg,transcipts/wwdc2024-10075.txt
10173,Analyze heap memory,"dive into the basis for your app's dynamic memory: the heap! explore how to use instruments and xcode to measure, analyze, and fix common heap issues. we'll also cover some techniques and best practices for diagnosing transient growth, persistent growth, and leaks in your app.",,Swift|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,33:03,https://developer.apple.com/videos/play/wwdc2024/10173/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9303/9303_wide_250x141_2x.jpg,transcipts/wwdc2024-10173.txt
10170,Consume noncopyable types in Swift,"get started with noncopyable types in swift. discover what copying means in swift, when you might want to use a noncopyable type, and how value ownership lets you state your intentions clearly.",,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,22:21,https://developer.apple.com/videos/play/wwdc2024/10170/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9300/9300_wide_250x141_2x.jpg,transcipts/wwdc2024-10170.txt
10198,"Run, Break, Inspect: Explore effective debugging in LLDB","learn how to use lldb to explore and debug codebases. we'll show you how to make the most of crashlogs and backtraces, and how to supercharge breakpoints with actions and complex stop conditions. we'll also explore how the “p” command and the latest features in swift 6 can enhance your debugging experience.",,Swift|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,28:48,https://developer.apple.com/videos/play/wwdc2024/10198/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9328/9328_wide_250x141_2x.jpg,transcipts/wwdc2024-10198.txt
10216,Explore the Swift on Server ecosystem,"swift is a great language for writing your server applications, and powers critical services across apple's cloud products. we'll explore tooling, delve into the swift server package ecosystem, and demonstrate how to interact with databases and add observability to applications.",,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,16:40,https://developer.apple.com/videos/play/wwdc2024/10216/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9362/9362_wide_250x141_2x.jpg,transcipts/wwdc2024-10216.txt
10138,Create a custom data store with SwiftData,"combine the power of swiftdata's expressive, declarative modeling api with your own persistence backend. learn how to build a custom data store and explore how to progressively add persistence features in your app. to get the most out of this session, watch “meet swiftdata” and “model your schema with swiftdata” from wwdc23.","datastore,datastoreconfiguration,datastoresnapshot",App Services|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,13:52,https://developer.apple.com/videos/play/wwdc2024/10138/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9266/9266_wide_250x141_2x.jpg,transcipts/wwdc2024-10138.txt
10195,Go further with Swift Testing,"learn how to write a sweet set of (test) suites using swift testing's baked-in features. discover how to take the building blocks further and use them to help expand tests to cover more scenarios, organize your tests across different suites, and optimize your tests to run in parallel.",,Swift|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,27:16,https://developer.apple.com/videos/play/wwdc2024/10195/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9325/9325_wide_250x141_2x.jpg,transcipts/wwdc2024-10195.txt
10197,Go small with Embedded Swift,"embedded swift brings the safety and expressivity of swift to constrained environments. explore how embedded swift runs on a variety of microcontrollers through a demonstration using an off-the-shelf matter device. learn how the embedded swift subset packs the benefits of swift into a tiny footprint with no runtime, and discover plenty of resources to start your own embedded swift adventure.",,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,22:17,https://developer.apple.com/videos/play/wwdc2024/10197/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9327/9327_wide_250x141_2x.jpg,transcipts/wwdc2024-10197.txt
10184,A Swift Tour: Explore Swift’s features and design,"learn the essential features and design philosophy of the swift programming language. we'll explore how to model data, handle errors, use protocols, write concurrent code, and more while building up a swift package that has a library, an http server, and a command line client. whether you're just beginning your swift journey or have been with us from the start, this talk will help you get the most out of the language.",,Developer Tools|Essentials|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,27:36,https://developer.apple.com/videos/play/wwdc2024/10184/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9314/9314_wide_250x141_2x.jpg,transcipts/wwdc2024-10184.txt
10169,Migrate your app to Swift 6,"experience swift 6 migration in action as we update an existing sample app. learn how to migrate incrementally, module by module, and how the compiler helps you identify code that's at risk of data races.  discover different techniques for ensuring clear isolation boundaries and eliminating concurrent access to shared mutable state.",,Developer Tools|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,41:48,https://developer.apple.com/videos/play/wwdc2024/10169/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9299/9299_wide_250x141_2x.jpg,transcipts/wwdc2024-10169.txt
10135,What’s new in Xcode 16,"discover the latest productivity and performance improvements in xcode 16. learn about enhancements to code completion, diagnostics, and xcode previews. find out more about updates in builds and explore improvements in debugging and instruments.",,Essentials|Swift|SwiftUI & UI Frameworks|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,22:14,https://developer.apple.com/videos/play/wwdc2024/10135/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9263/9263_wide_250x141_2x.jpg,transcipts/wwdc2024-10135.txt
10136,What’s new in Swift,"join us for an update on swift. we'll briefly go through a history of swift over the past decade, and show you how the community has grown through workgroups, expanded the package ecosystem, and increased platform support. we'll introduce you to a new language mode that achieves data-race safety by default, and a language subset that lets you run swift on highly constrained systems. we'll also explore some language updates including noncopyable types, typed throws, and improved c++ interoperability.",,Developer Tools|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,30:24,https://developer.apple.com/videos/play/wwdc2024/10136/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9264/9264_wide_250x141_2x.jpg,transcipts/wwdc2024-10136.txt
10137,What’s new in SwiftData,"swiftdata makes it easy to add persistence to your app with its expressive, declarative api. learn about refinements to swiftdata, including compound uniqueness constraints, faster queries with #index, queries in xcode previews, and rich predicate expressions. join us to explore how you can use all of these features to express richer models and improve performance in your app. 
to discover how to build a custom data store or use the history api in swiftdata, watch “create a custom data store with swiftdata” and “track model changes with swiftdata history”.","datastore,expression,index,preservevalueondeletion,unique",App Services|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,14:01,https://developer.apple.com/videos/play/wwdc2024/10137/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9265/9265_wide_250x141_2x.jpg,transcipts/wwdc2024-10137.txt
10179,Meet Swift Testing,"introducing swift testing: a new package for testing your code using swift. explore the building blocks of its powerful new api, discover how it can be applied in common testing workflows, and learn how it relates to xctest and open source swift.",,Essentials|Swift|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC24,wwdc2024,23:58,https://developer.apple.com/videos/play/wwdc2024/10179/,https://devimages-cdn.apple.com/wwdc-services/images/C03E6E6D-A32A-41D0-9E50-C3C6059820AA/9309/9309_wide_250x141_2x.jpg,transcipts/wwdc2024-10179.txt
111384,Discover the Journaling Suggestions API,"find out how the new journaling suggestions api can help people reflect on the small moments and big events in their lives though your app — all while protecting their privacy. learn how to leverage the api to retrieve assets and metadata for journaling suggestions, invoke a picker on top of the app, let people save suggested content, and more.",,Health & Fitness|Photos & Camera|Swift|App Services,ios,Tech Talks,tech-talks,14:05,https://developer.apple.com/videos/play/tech-talks/111384/,https://devimages-cdn.apple.com/wwdc-services/images/8/9094/9094_wide_250x141_2x.jpg,transcipts/tech-talks-111384.txt
10196,Dive deeper into SwiftData,"learn how you can harness the power of swiftdata in your app. find out how modelcontext and modelcontainer work together to persist your app's data. we'll show you how to track and make your changes manually and use swiftdata at scale with fetchdescriptor, sortdescriptor, and enumerate. 
 
to get the most out of this session, we recommend first watching ","attribute,coredata,core data,data,data model,enumerate,enumeration,fetchdescriptor,macros,model,model,modelcontainer,modelcontext,persistence,predicate,predicate,relationship,sortdescriptor,swift,swiftdata",Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,15:35,https://developer.apple.com/videos/play/wwdc2023/10196/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8258/8258_wide_250x141_2x.jpg,transcipts/wwdc2023-10196.txt
10171,Meet Swift OpenAPI Generator,discover how swift openapi generator can help you work with http server apis whether you're extending an ios app or writing a server in swift. we'll show you how this package plugin can streamline your workflow and simplify your codebase by generating code from an openapi document.,",,,,,,,,,",Developer Tools|Essentials|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,21:56,https://developer.apple.com/videos/play/wwdc2023/10171/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8228/8228_wide_250x141_2x.jpg,transcipts/wwdc2023-10171.txt
10170,Beyond the basics of structured concurrency,"it's all about the task tree: find out how structured concurrency can help your apps manage automatic task cancellation, task priority propagation, and useful task-local value patterns. learn how to manage resources in your app with useful patterns and the latest task group apis. we'll show you how you can leverage the power of the task tree and task-local values to gain insight into distributed systems. 
 
before watching, review the basics of swift concurrency and structured concurrency by checking out “swift concurrency: behind the scenes” and “explore structured concurrency in swift” from wwdc21.",,Developer Tools|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,24:22,https://developer.apple.com/videos/play/wwdc2023/10170/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8227/8227_wide_250x141_2x.jpg,transcipts/wwdc2023-10170.txt
10189,Migrate to SwiftData,"discover how you can start using swiftdata in your apps. we'll show you how to use xcode to generate model classes from your existing core data object models, use swiftdata alongside your previous implementation, or even completely replace your existing solution. 
 
before watching this session, make sure you check out ","attribute,coredata,core data,data,data model,macros,migration,model,model,presistence,refactor,relationship,swift,swiftdata,upgrade",Swift,ios|ipados|macos,WWDC23,wwdc2023,11:13,https://developer.apple.com/videos/play/wwdc2023/10189/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8249/8249_wide_250x141_2x.jpg,transcipts/wwdc2023-10189.txt
10268,Meet mergeable libraries,discover how mergeable libraries combine the best parts of static and dynamic libraries to help improve your app's productivity and runtime performance. learn how you can enable faster development while shipping the smallest app. we'll show you how to adopt mergeable libraries in xcode 15 and share best practices for working with your code.,,Swift|Developer Tools,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,26:15,https://developer.apple.com/videos/play/wwdc2023/10268/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8337/8337_wide_250x141_2x.jpg,transcipts/wwdc2023-10268.txt
10195,Model your schema with SwiftData,"learn how to use schema macros and migration plans with swiftdata to build more complex features for your app. we'll show you how to fine-tune your persistence with @attribute and @relationship options. learn how to exclude properties from your data model with @transient and migrate from one version of your schema to the next with ease. 
 
to get the most out of this session, we recommend first watching ","attribute,coredata,core data,data,fetchdescriptor,macro,macros,model,model,models,persistence,predicate,predicate,relationship,sortdescriptor,swift,swiftdata",Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,9:25,https://developer.apple.com/videos/play/wwdc2023/10195/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8257/8257_wide_250x141_2x.jpg,transcipts/wwdc2023-10195.txt
10172,Mix Swift and C++,"learn how you can use swift in your c++ and objective-c++ projects to make your code safer, faster, and easier to develop. we'll show you how to use c++ and swift apis to incrementally incorporate swift into your app. ",,Developer Tools|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,17:45,https://developer.apple.com/videos/play/wwdc2023/10172/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8229/8229_wide_250x141_2x.jpg,transcipts/wwdc2023-10172.txt
10115,Design with SwiftUI,"discover how swiftui can help you quickly iterate and explore design ideas. learn from apple designers as they share how working with swiftui influenced the design of the maps app in watchos 10 and other elements of their work, and find out how you can incorporate these workflows in your own process.",prototyping,Swift|SwiftUI & UI Frameworks|Design,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,18:34,https://developer.apple.com/videos/play/wwdc2023/10115/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8170/8170_wide_250x141_2x.jpg,transcipts/wwdc2023-10115.txt
10168,Generalize APIs with parameter packs,"swift parameter packs are a powerful tool to expand what is possible in your generic code while also enabling you to simplify common generic patterns. we'll show you how to abstract over types as well as the number of arguments in generic code and simplify common generic patterns to avoid overloads. 
 
to get the most out of this session, we recommend first checking out “embrace swift generics",,Developer Tools|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,18:24,https://developer.apple.com/videos/play/wwdc2023/10168/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8225/8225_wide_250x141_2x.jpg,transcipts/wwdc2023-10168.txt
10166,Write Swift macros,"discover how you can use swift macros to make your codebase more expressive and easier to read. code along as we explore how macros can help you avoid writing repetitive code and find out how to use them in your app. we'll share the building blocks of a macro, show you how to test it, and take you through how you can emit compilation errors from macros.",,Developer Tools|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,33:58,https://developer.apple.com/videos/play/wwdc2023/10166/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8223/8223_wide_250x141_2x.jpg,transcipts/wwdc2023-10166.txt
10244,Create rich documentation with Swift-DocC,"learn how you can take advantage of the latest features in swift-docc to create rich and detailed documentation for your app or framework. we'll show you how to use the xcode 15 documentation preview editor to efficiently iterate on your existing project's documentation, and explore expanded authoring capabilities like grid-based layouts, video support, and custom themes. 
 
to get the most out of this session, you should have a working knowledge of the basics of swift-docc documentation.",",",Swift|Developer Tools,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,33:53,https://developer.apple.com/videos/play/wwdc2023/10244/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8309/8309_wide_250x141_2x.jpg,transcipts/wwdc2023-10244.txt
10164,What’s new in Swift,join us for an update on swift. we'll show you how apis are becoming more extensible and expressive with features like parameter packs and macros. we'll also take you through improvements to interoperability and share how we're expanding swift's performance and safety benefits everywhere from foundation to large-scale distributed programs on the server.,,Developer Tools|Essentials|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,43:07,https://developer.apple.com/videos/play/wwdc2023/10164/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8221/8221_wide_250x141_2x.jpg,transcipts/wwdc2023-10164.txt
10167,Expand on Swift macros,"discover how swift macros can help you reduce boilerplate in your codebase and adopt complex features more easily. learn how macros can analyze code, emit rich compiler errors to guide developers towards correct usage, and generate new code that is automatically incorporated back into your project. we'll also take you through important concepts like macro roles, compiler plugins, and syntax trees.",,Developer Tools|Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC23,wwdc2023,39:43,https://developer.apple.com/videos/play/wwdc2023/10167/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8224/8224_wide_250x141_2x.jpg,transcipts/wwdc2023-10167.txt
10187,Meet SwiftData,"swiftdata is a powerful and expressive persistence framework built for swift. we'll show you how you can model your data directly from swift code, use swiftdata to work with your models, and integrate with swiftui.","attribute,coredata,core data,data,fetchdescriptor,macro,macros,model,model,models,observation,persistence,predicate,predicate,relationship,sortdescriptor,swift,swiftdata",Essentials|Swift,ios|ipados|macos|tvos|watchos,WWDC23,wwdc2023,8:52,https://developer.apple.com/videos/play/wwdc2023/10187/,https://devimages-cdn.apple.com/wwdc-services/images/D35E0E85-CCB6-41A1-B227-7995ECD83ED5/8247/8247_wide_250x141_2x.jpg,transcipts/wwdc2023-10187.txt
110360,Use Xcode for server-side development,"discover how you can create, build, and deploy a swift server app alongside your pre-existing xcode projects within the same workspace. we'll show you how to create your own local app and test endpoints using xcode, and explore how you can structure and share code between server and client apps to ease your development process",,Swift|Developer Tools,ios|ipados|macos|tvos|watchos,WWDC22,wwdc2022,17:35,https://developer.apple.com/videos/play/wwdc2022/110360/,https://devimages-cdn.apple.com/wwdc-services/images/124/6714/6714_wide_250x141_2x.jpg,transcipts/wwdc2022-110360.txt
